Latitude,Longitude,TimeStamp
59.809908,-149.602057,1466107705
59.809908,-149.602057,1466107705
59.810003,-149.601695,1466107711
59.81006,-149.601433,1466107715
59.81012,-149.601025,1466107721
59.81012,-149.60074,1466107725
59.810057,-149.60033,1466107731
59.810057,-149.60033,1466107731
59.80999,-149.600063,1466107735
59.809882,-149.59968,1466107741
59.809757,-149.599322,1466107747
59.809645,-149.599132,1466107751
59.809528,-149.598775,1466107757
59.809463,-149.598517,1466107761
59.809355,-149.598143,1466107767
59.809268,-149.597917,1466107771
59.809122,-149.597578,1466107777
59.809018,-149.597358,1466107781
59.808847,-149.597093,1466107787
59.808728,-149.596927,1466107791
59.808543,-149.596677,1466107797
59.808427,-149.596542,1466107801
59.808258,-149.596317,1466107807
59.80816,-149.596082,1466107811
59.808003,-149.595717,1466107817
59.807873,-149.595525,1466107821
59.80764,-149.595388,1466107827
59.807402,-149.595352,1466107833
59.807257,-149.595378,1466107837
59.80703,-149.595473,1466107843
59.806872,-149.59559,1466107847
59.806618,-149.595765,1466107853
59.806438,-149.595877,1466107857
59.806177,-149.596045,1466107863
59.806017,-149.596148,1466107867
59.805797,-149.596327,1466107873
59.80564,-149.596468,1466107877
59.8054,-149.596687,1466107883
59.805243,-149.596845,1466107887
59.805003,-149.59711,1466107893
59.804852,-149.597282,1466107897
59.80461,-149.597525,1466107903
59.804447,-149.597683,1466107907
59.8042,-149.597882,1466107913
59.804033,-149.59799,1466107917
59.803785,-149.598187,1466107923
59.803533,-149.59838,1466107929
59.80338,-149.598528,1466107933
59.803138,-149.598703,1466107939
59.802983,-149.598838,1466107943
59.802768,-149.59908,1466107949
59.802625,-149.599243,1466107953
59.80241,-149.5995,1466107959
59.802287,-149.59969,1466107963
59.802082,-149.599987,1466107969
59.801945,-149.600205,1466107973
59.801757,-149.600515,1466107979
59.80163,-149.600732,1466107983
59.801427,-149.601067,1466107989
59.801297,-149.601252,1466107993
59.801115,-149.601442,1466107999
59.80099,-149.601495,1466108003
59.800783,-149.60144,1466108009
59.800712,-149.601398,1466108011
59.800638,-149.60135,1466108013
59.800418,-149.60113,1466108019
59.80019,-149.600857,1466108025
59.80003,-149.600657,1466108029
59.799792,-149.600365,1466108035
59.79963,-149.600167,1466108039
59.799393,-149.599902,1466108045
59.799243,-149.59973,1466108049
59.799033,-149.599482,1466108055
59.79889,-149.599263,1466108059
59.798673,-149.598907,1466108065
59.798552,-149.598683,1466108069
59.798407,-149.598357,1466108075
59.79835,-149.598138,1466108079
59.798268,-149.597807,1466108085
59.798268,-149.597807,1466108085
59.798233,-149.597552,1466108089
59.798198,-149.597092,1466108095
59.798157,-149.596567,1466108101
59.79812,-149.5962,1466108105
59.798022,-149.595673,1466108111
59.797983,-149.5955,1466108113
59.797938,-149.595335,1466108115
59.797772,-149.594878,1466108121
59.797628,-149.594623,1466108125
59.797387,-149.594348,1466108131
59.797208,-149.59428,1466108135
59.796942,-149.594257,1466108141
59.79677,-149.594267,1466108145
59.796533,-149.594317,1466108151
59.796378,-149.59437,1466108155
59.796133,-149.594475,1466108161
59.79595,-149.594545,1466108165
59.795672,-149.594665,1466108171
59.795503,-149.59473,1466108175
59.795265,-149.594797,1466108181
59.795108,-149.594847,1466108185
59.79487,-149.594907,1466108191
59.794637,-149.594943,1466108197
59.794482,-149.594968,1466108201
59.794245,-149.594967,1466108207
59.79409,-149.594938,1466108211
59.793848,-149.594827,1466108217
59.793697,-149.594757,1466108221
59.793507,-149.594495,1466108227
59.793402,-149.594282,1466108231
59.793242,-149.593958,1466108237
59.793117,-149.593738,1466108241
59.792892,-149.593417,1466108247
59.792738,-149.593217,1466108251
59.792512,-149.592933,1466108257
59.792385,-149.592715,1466108261
59.792292,-149.592275,1466108267
59.792275,-149.591915,1466108271
59.792245,-149.59136,1466108277
59.7922,-149.591012,1466108281
59.79205,-149.590597,1466108287
59.79184,-149.590368,1466108293
59.791693,-149.59025,1466108297
59.791475,-149.590043,1466108303
59.791322,-149.589928,1466108307
59.791082,-149.58984,1466108313
59.790908,-149.589875,1466108317
59.790665,-149.589992,1466108323
59.790518,-149.590067,1466108327
59.7903,-149.590173,1466108333
59.790153,-149.590242,1466108337
59.789905,-149.590317,1466108343
59.789737,-149.59037,1466108347
59.789497,-149.590463,1466108353
59.789342,-149.5905,1466108357
59.789088,-149.59058,1466108363
59.788945,-149.590703,1466108367
59.788772,-149.590965,1466108373
59.788667,-149.591148,1466108377
59.788492,-149.591422,1466108383
59.788432,-149.591515,1466108385
59.788308,-149.591702,1466108389
59.788187,-149.591882,1466108393
59.788007,-149.592135,1466108399
59.787887,-149.592298,1466108403
59.7877,-149.592535,1466108409
59.787587,-149.59271,1466108413
59.787448,-149.593045,1466108419
59.787377,-149.5933,1466108423
59.787377,-149.5933,1466108423
59.78729,-149.593723,1466108429
59.78729,-149.593723,1466108429
59.787238,-149.594013,1466108433
59.78718,-149.594305,1466108437
59.787142,-149.594452,1466108439
59.787052,-149.59475,1466108443
59.786872,-149.595095,1466108449
59.786812,-149.595187,1466108451
59.786753,-149.595273,1466108453
59.786638,-149.595442,1466108457
59.786573,-149.595522,1466108459
59.786442,-149.595668,1466108463
59.786373,-149.595733,1466108465
59.786235,-149.595825,1466108469
59.786097,-149.59586,1466108473
59.785892,-149.595865,1466108479
59.785688,-149.595853,1466108485
59.785547,-149.595882,1466108489
59.785338,-149.595948,1466108495
59.785195,-149.595993,1466108499
59.784977,-149.59605,1466108505
59.78483,-149.596042,1466108509
59.784622,-149.595953,1466108515
59.78448,-149.595863,1466108519
59.784278,-149.595692,1466108525
59.784278,-149.595692,1466108525
59.784158,-149.595568,1466108529
59.783975,-149.59535,1466108535
59.78386,-149.595198,1466108539
59.783692,-149.594982,1466108545
59.783592,-149.594875,1466108549
59.783445,-149.594705,1466108555
59.783358,-149.594608,1466108559
59.783233,-149.594462,1466108565
59.783095,-149.594333,1466108571
59.783,-149.59427,1466108575
59.782863,-149.594207,1466108581
59.782772,-149.59418,1466108585
59.782637,-149.59413,1466108591
59.782545,-149.594088,1466108595
59.782405,-149.594018,1466108601
59.782322,-149.593967,1466108605
59.7822,-149.59389,1466108611
59.782118,-149.593835,1466108615
59.781987,-149.593743,1466108621
59.781987,-149.593743,1466108621
59.7819,-149.593673,1466108625
59.781818,-149.593593,1466108629
59.78178,-149.593542,1466108631
59.781702,-149.593422,1466108635
59.781583,-149.593195,1466108641
59.781505,-149.593008,1466108645
59.781387,-149.592697,1466108651
59.781308,-149.592477,1466108655
59.781192,-149.592152,1466108661
59.781065,-149.591838,1466108667
59.78097,-149.591595,1466108671
59.780857,-149.59117,1466108677
59.780835,-149.590855,1466108681
59.780918,-149.590425,1466108687
59.78103,-149.590193,1466108691
59.781207,-149.589852,1466108697
59.781207,-149.589852,1466108697
59.781327,-149.589628,1466108701
