Country,Year,Value
Norway,1971,13850.93236
Norway,1974,16071.86461
Norway,1977,16217.28318
Norway,1980,18316.55117
Norway,1983,20062.55793
Norway,1986,21630.41956
Norway,1989,22346.14828
Norway,1992,23190.06302
Norway,1995,23808.73439
Norway,1998,24693.58511
Iceland,1971,6910.779264
Iceland,1974,9852.045197
Iceland,1977,10519.28763
Iceland,1980,12546.03179
Iceland,1983,14033.85355
Iceland,1986,14508.84366
Iceland,1989,15670.72397
Iceland,1992,14828.23653
Iceland,1995,15922.75404
Iceland,1998,20080.25613
Canada,1971,8753.164288
Canada,1974,10452.02901
Canada,1977,11361.32591
Canada,1980,12331.18686
Canada,1983,12792.80995
Canada,1986,14637.49639
Canada,1989,15297.44648
Canada,1992,14832.65065
Canada,1995,15087.62598
Canada,1998,14894.22548
Sweden,1971,7461.771746
Sweden,1974,8528.523202
Sweden,1977,9435.086346
Sweden,1980,10217.38249
Sweden,1983,11483.95875
Sweden,1986,13614.57575
Sweden,1989,14054.15042
Sweden,1992,13771.01042
Sweden,1995,14033.56224
Sweden,1998,14204.90259
Finland,1971,4683.717879
Finland,1974,5845.752503
Finland,1977,6346.282835
Finland,1980,7781.02743
Finland,1983,8647.94055
Finland,1986,10073.42411
Finland,1989,11414.78444
Finland,1992,11856.43603
Finland,1995,12778.28802
Finland,1998,14153.167
Qatar,1971,2578.690752
Qatar,1974,3000.057382
Qatar,1977,4806.445405
Qatar,1980,9423.305324
Qatar,1983,10374.28802
Qatar,1986,10902.91761
Qatar,1989,9624.697601
Qatar,1992,9206.434353
Qatar,1995,8131.717123
Qatar,1998,9911.067515
Bahrain,1971,1908.274653
Bahrain,1974,2315.762876
Bahrain,1977,3732.893312
Bahrain,1980,4776.903512
Bahrain,1983,5639.376116
Bahrain,1986,5706.784665
Bahrain,1989,5896.385123
Bahrain,1992,6552.754287
Bahrain,1995,7480.75304
Bahrain,1998,8559.632167
Kuwait,1971,2181.117943
Kuwait,1974,2436.38674
Kuwait,1977,2631.228642
Kuwait,1980,3158.035041
Kuwait,1983,4030.557624
Kuwait,1986,4803.543383
Kuwait,1989,4721.823686
Kuwait,1992,8290.076278
Kuwait,1995,9385.28044
Kuwait,1998,10562.05701
Brunei,1971,1573.979842
Brunei,1974,1430.72106
Brunei,1977,1291.974931
Brunei,1980,1603.787172
Brunei,1983,2862.453312
Brunei,1986,2951.899548
Brunei,1989,3904.068361
Brunei,1992,4184.150222
Brunei,1995,5910.148433
Brunei,1998,7522.256395
Taiwan,1971,898.9789333
Taiwan,1974,1161.349071
Taiwan,1977,1603.248665
Taiwan,1980,2066.560777
Taiwan,1983,2235.584393
Taiwan,1986,2713.678026
Taiwan,1989,3525.407711
Taiwan,1992,4384.283951
Taiwan,1995,5300.672328
Taiwan,1998,6370.107928
