Country,Year,Value
Latvia,1997,11.348
Latvia,1998,15.555
Latvia,1999,13.607
Latvia,2000,13.033
Latvia,2001,12.406
Latvia,2002,12.765
Latvia,2003,11.647
Latvia,2004,11.069
Latvia,2005,10.238
Latvia,2006,8.135
Estonia,1997,14.126
Estonia,1998,14.129
Estonia,1999,10.898
Estonia,2000,9.115
Estonia,2001,7.932
Estonia,2002,10.447
Estonia,2003,6.943
Estonia,2004,6.544
Estonia,2005,7.741
Estonia,2006,9.554
Spain,1997,10.06
Spain,1998,10.757
Spain,1999,10.331
Spain,2000,10.151
Spain,2001,9.168
Spain,2002,8.818
Spain,2003,8.823
Spain,2004,7.466
Spain,2005,6.603
Spain,2006,5.146
Iceland,1997,2.489
Iceland,1998,9.303
Iceland,1999,4.026
Iceland,2000,9.261
Iceland,2001,8.381
Iceland,2002,9.333
Iceland,2003,6.029
Iceland,2004,5.333
Iceland,2005,4.566
Iceland,2006,8.03
Brazil,1997,6.541
Brazil,1998,5.73
Brazil,1999,6.651
Brazil,2000,7.065
Brazil,2001,6.643
Brazil,2002,6.977
Brazil,2003,6.709
Brazil,2004,7.247
Brazil,2005,6.842
Brazil,2006,1.8718
South Africa,1997,6.165
South Africa,1998,8.23
South Africa,1999,6.021
South Africa,2000,4.676
South Africa,2001,3.796
South Africa,2002,2.386
South Africa,2003,5.016
South Africa,2004,4.235
South Africa,2005,5.409
South Africa,2006,7
France,1997,6.813
France,1998,6.818
France,1999,5.466
France,2000,5.992
France,2001,6.39
France,2002,6.07
France,2003,4.426
France,2004,3.958
France,2005,3.592
France,2006,3.091
Ecuador,1997,4.463
Ecuador,1998,2.389
Ecuador,1999,2.453
Ecuador,2000,3.821
Ecuador,2001,4.1
Ecuador,2002,3.276
Ecuador,2003,5.552
Ecuador,2004,5.341
Ecuador,2005,4.646
Ecuador,2006,7.04
Korea Rep.,1997,7.22
Korea Rep.,1998,2.818
Korea Rep.,1999,2.196
Korea Rep.,2000,4.158
Korea Rep.,2001,2.67
Korea Rep.,2002,2.86
Korea Rep.,2003,6.348
Korea Rep.,2004,5.135
Korea Rep.,2005,4.695
Korea Rep.,2006,4.615
Costa Rica,1997,5.185
Costa Rica,1998,6.495
Costa Rica,1999,5.973
Costa Rica,2000,5.373
Costa Rica,2001,1.975
Costa Rica,2002,4.746
Costa Rica,2003,4.69
Costa Rica,2004,3.479
Costa Rica,2005,1.146
Costa Rica,2006,0.589
