Country,Year,Value
Cape Verde,1950,5.116570018
Cape Verde,1955,6.250194613
Cape Verde,1960,7.521743799
Cape Verde,1965,8.27956895
Cape Verde,1970,9.094302217
Cape Verde,1975,9.012052733
Cape Verde,1980,8.944246783
Cape Verde,1985,8.491633683
Cape Verde,1990,8.7571636
Mayotte,1950,5.211305108
Mayotte,1955,6.834913189
Mayotte,1960,7.846576386
Mayotte,1965,8.567208275
Mayotte,1970,8.904232592
Mayotte,1975,9.411137442
Mayotte,1980,9.449675092
Mayotte,1985,8.899719133
Mayotte,1990,8.202809943
Tajikistan,1950,5.087049323
Tajikistan,1955,5.182242033
Tajikistan,1960,6.567201666
Tajikistan,1965,8.382992075
Tajikistan,1970,8.784651683
Tajikistan,1975,8.22895655
Tajikistan,1980,7.390982547
Tajikistan,1985,7.110787742
Tajikistan,1990,7.262332497
Uzbekistan,1950,4.873157787
Uzbekistan,1955,5.038352449
Uzbekistan,1960,6.50249162
Uzbekistan,1965,8.179900534
Uzbekistan,1970,8.554251475
Uzbekistan,1975,7.829312303
Uzbekistan,1980,6.962318962
Uzbekistan,1985,6.634272585
Uzbekistan,1990,6.659464133
Suriname,1950,6.968390805
Suriname,1955,7.564102564
Suriname,1960,8.809523808
Suriname,1965,9.010712033
Suriname,1970,9.01723815
Suriname,1975,8.793427683
Suriname,1980,6.499217612
Suriname,1985,5.481825096
Suriname,1990,4.991926928
Bahrain,1950,6.828652572
Bahrain,1955,6.924268637
Bahrain,1960,6.999692737
Bahrain,1965,9.3368621
Bahrain,1970,7.776487352
Bahrain,1975,6.851104184
Bahrain,1980,4.805582258
Bahrain,1985,4.220060681
Bahrain,1990,4.197337478
Martinique,1950,6.109366823
Martinique,1955,6.783234127
Martinique,1960,7.231864708
Martinique,1965,7.944023569
Martinique,1970,7.172995781
Martinique,1975,7.071713148
Martinique,1980,5.001046583
Martinique,1985,4.505119899
Martinique,1990,4.044860237
Guadeloupe,1950,6.426553673
Guadeloupe,1955,6.97265625
Guadeloupe,1960,7.684665732
Guadeloupe,1965,7.756202805
Guadeloupe,1970,7.428940568
Guadeloupe,1975,7.458697765
Guadeloupe,1980,5.448427315
Guadeloupe,1985,4.794188353
Guadeloupe,1990,3.95749919
Aruba,1950,6.721415536
Aruba,1955,7.041384659
Aruba,1960,7.093401692
Aruba,1965,6.827815167
Aruba,1970,5.916845423
Aruba,1975,4.872369938
Aruba,1980,4.038603848
Aruba,1985,3.740385928
Aruba,1990,3.798176657
Macao China,1950,3.835236387
Macao China,1955,5.431343293
Macao China,1960,7.111561683
Macao China,1965,7.447909082
Macao China,1970,6.230174385
Macao China,1975,4.433486281
Macao China,1980,3.709529979
Macao China,1985,3.814686235
Macao China,1990,3.812595167
