Country,Year,Value
Greece,1961,2824.27
Greece,1963,2793.98
Greece,1965,2924.12
Greece,1967,3007.77
Greece,1969,3041.04
Greece,1971,3171.19
Greece,1973,3419.93
Greece,1975,3341.87
Greece,1977,3340.16
Cyprus,1961,2472.72
Cyprus,1963,2371.55
Cyprus,1965,2695.15
Cyprus,1967,2894.87
Cyprus,1969,3287.49
Cyprus,1971,3085.41
Cyprus,1973,2953.4
Cyprus,1975,2533.73
Cyprus,1977,2560.46
Korea Rep.,1961,2141.07
Korea Rep.,1963,2207.92
Korea Rep.,1965,2366.88
Korea Rep.,1967,2507.97
Korea Rep.,1969,2721.69
Korea Rep.,1971,2898.24
Korea Rep.,1973,3057.5
Korea Rep.,1975,3105.47
Korea Rep.,1977,3109.13
Libya,1961,1636.51
Libya,1963,1724.18
Libya,1965,1880.9
Libya,1967,2114.08
Libya,1969,2261.29
Libya,1971,2415.51
Libya,1973,2840.41
Libya,1975,3073.78
Libya,1977,3206.67
Jamaica,1961,1915.48
Jamaica,1963,2029.5
Jamaica,1965,2174.84
Jamaica,1967,2330.52
Jamaica,1969,2344.65
Jamaica,1971,2561.63
Jamaica,1973,2535.7
Jamaica,1975,2645.58
Jamaica,1977,2637.94
Syria,1961,1998.4
Syria,1963,2118.76
Syria,1965,2144.92
Syria,1967,2256.28
Syria,1969,2374.44
Syria,1971,2452.92
Syria,1973,2414.13
Syria,1975,2571.07
Syria,1977,2741.77
Iran,1961,1768.91
Iran,1963,1808.65
Iran,1965,1887.99
Iran,1967,2046.4
Iran,1969,2036.77
Iran,1971,2019.87
Iran,1973,2299.16
Iran,1975,2396.95
Iran,1977,2451.39
Seychelles,1961,1746.55
Seychelles,1963,1774.64
Seychelles,1965,1676.33
Seychelles,1967,1678.81
Seychelles,1969,1775.45
Seychelles,1971,2232.27
Seychelles,1973,2226.68
Seychelles,1975,2031.3
Seychelles,1977,2102.76
Chad,1961,2279.74
Chad,1963,2374.11
Chad,1965,2299.23
Chad,1967,2248.6
Chad,1969,2169.11
Chad,1971,1999.39
Chad,1973,1741.5
Chad,1975,1695.13
Chad,1977,1651.07
Gambia,1961,2385
Gambia,1963,2365.48
Gambia,1965,2491.29
Gambia,1967,2422.43
Gambia,1969,2421.86
Gambia,1971,2344.44
Gambia,1973,2103.87
Gambia,1975,1823.06
Gambia,1977,1817.58
