Country,Year,Value
Lesotho,1966,10.12345679
Lesotho,1970,10.18329939
Lesotho,1974,12.68292683
Lesotho,1978,25.02157032
Lesotho,1982,43.48404663
Lesotho,1986,40.30745307
Lesotho,1990,56.21990218
Lesotho,1994,58.05063652
Lesotho,1998,50.80268038
Lesotho,2002,31.41246747
Congo Rep.,1966,30.25829314
Congo Rep.,1970,24.21051823
Congo Rep.,1974,35.06032774
Congo Rep.,1978,27.3323232
Congo Rep.,1982,59.73239437
Congo Rep.,1986,29.45062753
Congo Rep.,1990,15.90551181
Congo Rep.,1994,31.24109288
Congo Rep.,1998,26.68437527
Congo Rep.,2002,23.40759656
Algeria,1966,17.32413164
Algeria,1970,36.64906886
Algeria,1974,40.01653614
Algeria,1978,52.21935259
Algeria,1982,37.28323754
Algeria,1986,33.55592414
Algeria,1990,28.58941956
Algeria,1994,30.08014286
Algeria,1998,27.14848325
Algeria,2002,31.18741637
Botswana,1966,21.81571816
Botswana,1970,45.32269761
Botswana,1974,47.87208464
Botswana,1978,36.36363636
Botswana,1982,37.65848524
Botswana,1986,21.48534526
Botswana,1990,37.36697697
Botswana,1994,26.46405879
Botswana,1998,32.60463929
Botswana,2002,40.73487878
Greece,1966,40.29017258
Greece,1970,50.77738833
Greece,1974,67.20700578
Greece,1978,10.06227681
Greece,1982,29.73615749
Greece,1986,35.73287389
Greece,1990,21.66938219
Greece,1994,20.04223265
Greece,1998,20.57595373
Greece,2002,22.30781805
Suriname,1966,29.19345412
Suriname,1970,21.34331378
Suriname,1974,43.70591427
Suriname,1978,32.42691771
Suriname,1982,27.70037699
Suriname,1986,21.95286195
Suriname,1990,10.77259851
Suriname,1994,13.68960757
Suriname,1998,25.49146667
Suriname,2002,22.03324655
Venezuela,1966,23.9715706
Venezuela,1970,32.88702886
Venezuela,1974,26.16459587
Venezuela,1978,43.91662654
Venezuela,1982,27.68959527
Venezuela,1986,20.81088001
Venezuela,1990,10.21993532
Venezuela,1994,14.1563418
Venezuela,1998,30.66040253
Venezuela,2002,21.15888805
Swaziland,1966,26.59380692
Swaziland,1970,23.09612984
Swaziland,1974,23.83073497
Swaziland,1978,47.90681972
Swaziland,1982,30.18845531
Swaziland,1986,19.95517818
Swaziland,1990,15.11405094
Swaziland,1994,17.35445827
Swaziland,1998,19.28479464
Swaziland,2002,20.12557044
Togo,1966,16.38417386
Togo,1970,15.09973012
Togo,1974,16.38250628
Togo,1978,52.68816077
Togo,1982,21.33332902
Togo,1986,18.82961335
Togo,1990,26.57097399
Togo,1994,15.04350716
Togo,1998,16.43731469
Togo,2002,18.52571809
Chad,1966,13.15273156
Chad,1970,16.09262265
Chad,1974,18.47476487
Chad,1978,16.23124529
Chad,1982,3.161763922
Chad,1986,8.132939993
Chad,1990,6.75350746
Chad,1994,16.63991107
Chad,1998,16.93422051
Chad,2002,60.15617303
