Country,Year,Value
Zimbabwe,1991,13.6
Zimbabwe,1993,20.6
Zimbabwe,1995,25.1
Zimbabwe,1997,26.5
Zimbabwe,1999,25.7
Zimbabwe,2001,23.7
Zimbabwe,2003,21.1
Zimbabwe,2005,18.4
Zimbabwe,2007,16.1
Zimbabwe,2009,14.3
Botswana,1991,5.1
Botswana,1993,10.1
Botswana,1995,16.6
Botswana,1997,22.2
Botswana,1999,25.3
Botswana,2001,26.3
Botswana,2003,26.1
Botswana,2005,25.5
Botswana,2007,25.1
Botswana,2009,24.8
Lesotho,1991,1.7
Lesotho,1993,5.9
Lesotho,1995,14.3
Lesotho,1997,21.6
Lesotho,1999,24.2
Lesotho,2001,24.5
Lesotho,2003,24.1
Lesotho,2005,23.6
Lesotho,2007,23.5
Lesotho,2009,23.6
Swaziland,1991,3.2
Swaziland,1993,6.1
Swaziland,1995,10.6
Swaziland,1997,16
Swaziland,1999,20.6
Swaziland,2001,23.6
Swaziland,2003,25.1
Swaziland,2005,25.6
Swaziland,2007,25.8
Swaziland,2009,25.9
South Africa,1991,1.2
South Africa,1993,2.9
South Africa,1995,6.1
South Africa,1997,10.7
South Africa,1999,14.8
South Africa,2001,17.1
South Africa,2003,18
South Africa,2005,18.1
South Africa,2007,18
South Africa,2009,17.8
Namibia,1991,2.2
Namibia,1993,4.1
Namibia,1995,7.1
Namibia,1997,10.7
Namibia,1999,14.1
Namibia,2001,16.1
Namibia,2003,16.5
Namibia,2005,15.7
Namibia,2007,14.3
Namibia,2009,13.1
Mozambique,1991,1.6
Mozambique,1993,2.7
Mozambique,1995,4.1
Mozambique,1997,5.8
Mozambique,1999,7.7
Mozambique,2001,9.4
Mozambique,2003,10.6
Mozambique,2005,11.2
Mozambique,2007,11.4
Mozambique,2009,11.5
Kenya,1991,5.4
Kenya,1993,8.4
Kenya,1995,10.3
Kenya,1997,10.5
Kenya,1999,9.6
Kenya,2001,8.4
Kenya,2003,7.5
Kenya,2005,6.8
Kenya,2007,6.4
Kenya,2009,6.3
Uganda,1991,10.7
Uganda,1993,10.2
Uganda,1995,9.3
Uganda,1997,8.4
Uganda,1999,7.6
Uganda,2001,7
Uganda,2003,6.6
Uganda,2005,6.4
Uganda,2007,6.3
Uganda,2009,6.5
Malawi,1991,8.8
Malawi,1993,11.9
Malawi,1995,13.9
Malawi,1997,14.7
Malawi,1999,14.5
Malawi,2001,13.8
Malawi,2003,13
Malawi,2005,12.1
Malawi,2007,11.4
Malawi,2009,11
