Country,Year,Value
Venezuela,1996,15.08996
Venezuela,1997,12.73583
Venezuela,1998,12.18425
Venezuela,1999,17.04455
Venezuela,2000,26.05696
Venezuela,2001,26.33243
Venezuela,2002,29.30516
Venezuela,2003,33.79287
Venezuela,2004,27.62771
Venezuela,2005,27.94007
Dom. Rep.,1996,6.925
Dom. Rep.,1997,8.188
Dom. Rep.,1998,9.886
Dom. Rep.,1999,10.944
Dom. Rep.,2000,8.985
Dom. Rep.,2001,10.725
Dom. Rep.,2002,11.19151
Dom. Rep.,2003,13.144
Dom. Rep.,2004,18.60583878
Dom. Rep.,2005,19.49140808
Paraguay,1996,14.80377
Paraguay,1997,12.27576
Paraguay,1998,13.11637
Paraguay,1999,12.40226
Paraguay,2000,14.74066
Paraguay,2001,14.47701
Paraguay,2002,14.07247
Paraguay,2003,14.78462
Paraguay,2004,14.57042
Paraguay,2005,13.22784
Estonia,1996,19.90375
Estonia,1997,15.76437
Estonia,1998,18.03358
Estonia,1999,15.63435
Estonia,2000,13.07728
Estonia,2001,13.92882
Estonia,2002,10.55732
Estonia,2003,10.21876
Estonia,2004,6.907458
Estonia,2005,8.09041
Mexico,1996,17.25858
Mexico,1997,15.75612
Mexico,1998,15.56178
Mexico,1999,13.66574
Mexico,2000,11.75996
Mexico,2001,10.8476
Mexico,2002,10.52935
Mexico,2003,10.40824
Mexico,2004,9.457928
Mexico,2005,9.913541
Latvia,1996,14.75755
Latvia,1997,15.25825
Latvia,1998,11.9243
Latvia,1999,11.66165
Latvia,2000,11.40277
Latvia,2001,11.49115
Latvia,2002,10.21066
Latvia,2003,9.518736
Latvia,2004,8.401813
Latvia,2005,8.905146
Kyrgyzstan,1996,13.88681
Kyrgyzstan,1997,10.79377
Kyrgyzstan,1998,9.147379
Kyrgyzstan,1999,8.625963
Kyrgyzstan,2000,9.512867
Kyrgyzstan,2001,8.069104
Kyrgyzstan,2002,7.618983
Kyrgyzstan,2003,7.263677
Kyrgyzstan,2004,7.443642
Kyrgyzstan,2005,8.471581
Argentina,1996,4.741041
Argentina,1997,4.957648
Argentina,1998,4.904284
Argentina,1999,5.452861
Argentina,2000,5.967418
Argentina,2001,7.111205
Argentina,2002,7.713972
Argentina,2003,7.412274
Argentina,2004,5.883619
Argentina,2005,5.253773
Uzbekistan,1996,6.010993
Uzbekistan,1997,4.710768
Uzbekistan,1998,4.259888
Uzbekistan,1999,3.712894
Uzbekistan,2000,3.928299
Uzbekistan,2001,3.776941
Uzbekistan,2002,3.641898
Uzbekistan,2003,2.531598
Uzbekistan,2004,2.840008
Uzbekistan,2005,3.20092
Macedonia,1996,2.321193
Macedonia,1997,2.247283
Macedonia,1998,2.185297
Macedonia,1999,2.546126
Macedonia,2000,2.865572
Macedonia,2001,6.193229
Macedonia,2002,3.218044
Macedonia,2003,3.084815
Macedonia,2004,5.052623272
Macedonia,2005,5.052623272
