Country,Year,Value
Saudi Arabia,1997,11.00093575
Saudi Arabia,1998,14.31103749
Saudi Arabia,1999,11.38191745
Saudi Arabia,2000,10.59439031
Saudi Arabia,2001,11.48921154
Saudi Arabia,2002,9.812648777
Saudi Arabia,2003,8.737112377
Saudi Arabia,2004,8.352835782
Saudi Arabia,2005,8.046105318
Saudi Arabia,2006,8.294442643
Kuwait,1997,8.092108836
Kuwait,1998,8.802215659
Kuwait,1999,7.590712178
Kuwait,2000,7.147796024
Kuwait,2001,7.700214933
Kuwait,2002,7.402933563
Kuwait,2003,6.539566833
Kuwait,2004,5.805788662
Kuwait,2005,4.344508965
Kuwait,2006,3.559552087
Zimbabwe,1997,3.291296758
Zimbabwe,1998,2.440748447
Zimbabwe,1999,3.893785285
Zimbabwe,2000,5.247956922
Zimbabwe,2001,4.246122471
Zimbabwe,2002,10.7726137
Zimbabwe,2003,3.44648954
Zimbabwe,2004,4.522436409
Zimbabwe,2005,2.356540767
Zimbabwe,2006,3.110773028
Sudan,1997,0.83665955
Sudan,1998,2.310689609
Sudan,1999,4.02186929
Sudan,2000,4.749052018
Sudan,2001,2.904391484
Sudan,2002,3.235924131
Sudan,2003,2.239149295
Sudan,2004,5.721950418
Sudan,2005,4.253979041
Sudan,2006,4.222867241
Georgia,1997,1.253587669
Georgia,1998,1.136973956
Georgia,1999,0.924374856
Georgia,2000,0.615582491
Georgia,2001,0.740186005
Georgia,2002,1.000532997
Georgia,2003,1.068414394
Georgia,2004,1.374144337
Georgia,2005,3.338799775
Georgia,2006,5.221207622
Macedonia,1997,2.237948913
Macedonia,1998,2.206391985
Macedonia,1999,1.80326212
Macedonia,2000,1.946782859
Macedonia,2001,6.584388538
Macedonia,2002,2.804035581
Macedonia,2003,2.501928537
Macedonia,2004,2.519439608
Macedonia,2005,2.183735202
Macedonia,2006,1.97771095
Croatia,1997,7.647231312
Croatia,1998,5.684792857
Croatia,1999,4.488750296
Croatia,2000,3.065949074
Croatia,2001,2.730790661
Croatia,2002,2.765857226
Croatia,2003,2.077913612
Croatia,2004,1.717672961
Croatia,2005,1.621217052
Croatia,2006,1.703866201
Brunei,1997,7.101204955
Brunei,1998,7.256636894
Brunei,1999,5.617545071
Brunei,2000,4.069210172
Brunei,2001,3.886213877
Brunei,2002,3.870758679
Brunei,2003,3.711424379
Brunei,2004,2.532726835
Brunei,2005,2.609671266
Brunei,2006,2.556815181
Ethiopia,1997,2.6170036
Ethiopia,1998,5.875679764
Ethiopia,1999,9.507042254
Ethiopia,2000,7.614632097
Ethiopia,2001,4.349743484
Ethiopia,2002,3.720141954
Ethiopia,2003,3.264234701
Ethiopia,2004,3.099435161
Ethiopia,2005,2.784749969
Ethiopia,2006,2.284240096
Angola,1997,5.993886236
Angola,1998,2.642426387
Angola,1999,17.33737115
Angola,2000,6.392766792
Angola,2001,4.524358889
Angola,2002,3.837421143
Angola,2003,4.800881087
Angola,2004,4.134137685
Angola,2005,4.456252074
Angola,2006,4.362639001
