Country,Year,Value
Lesotho,1991,39.42228041
Lesotho,1992,40.70701984
Lesotho,1993,44.31603584
Lesotho,1994,44.67979837
Lesotho,1995,43.77383632
Lesotho,1996,41.83768456
Lesotho,1997,42.36140418
Lesotho,1998,37.06298411
Lesotho,1999,38.15481186
Lesotho,2000,35.59850408
Namibia,1991,32.41499564
Namibia,1992,30.3422711
Namibia,1993,29.84411954
Namibia,1994,27.15943535
Namibia,1995,28.41413505
Namibia,1996,27.40590234
Namibia,1997,30.48176228
Namibia,1998,29.27989781
Namibia,1999,31.89760201
Namibia,2000,27.5296553
Croatia,1991,14.88887176
Croatia,1992,19.73481732
Croatia,1993,21.5487456
Croatia,1994,26.87202303
Croatia,1995,23.05805961
Croatia,1996,22.94080142
Croatia,1997,22.00914038
Croatia,1998,25.18792358
Croatia,1999,23.35664736
Croatia,2000,22.60404022
Bulgaria,1991,22.33382461
Bulgaria,1992,16.90338645
Bulgaria,1993,15.21378387
Bulgaria,1994,21.23896499
Bulgaria,1995,20.01022263
Bulgaria,1996,17.38597965
Bulgaria,1997,17.96651308
Bulgaria,1998,18.57446687
Bulgaria,1999,17.90805853
Bulgaria,2000,18.31162136
Malaysia,1991,20.11278593
Malaysia,1992,20.17228426
Malaysia,1993,19.40496938
Malaysia,1994,20.05730012
Malaysia,1995,19.55661877
Malaysia,1996,19.45509688
Malaysia,1997,19.82966324
Malaysia,1998,16.80994838
Malaysia,1999,14.15747875
Malaysia,2000,13.75588172
Kenya,1991,17.6238629
Kenya,1992,18.40725046
Kenya,1993,14.96562051
Kenya,1994,14.93543728
Kenya,1995,20.49432528
Kenya,1996,15.84757514
Kenya,1997,16.06217213
Kenya,1998,15.05943408
Kenya,1999,16.15444222
Kenya,2000,16.83114396
Nicaragua,1991,18.23936737
Nicaragua,1992,19.84950915
Nicaragua,1993,18.98088283
Nicaragua,1994,11.66917812
Nicaragua,1995,12.19993924
Nicaragua,1996,12.31892233
Nicaragua,1997,13.7391881
Nicaragua,1998,14.31969739
Nicaragua,1999,13.90768319
Nicaragua,2000,13.8141616
Venezuela,1991,18.26549952
Venezuela,1992,13.60484741
Venezuela,1993,13.44993308
Venezuela,1994,14.05830411
Venezuela,1995,12.92333777
Venezuela,1996,13.95644576
Venezuela,1997,17.47080232
Venezuela,1998,12.6968412
Venezuela,1999,13.49214082
Venezuela,2000,13.28660355
Sierra Leone,1991,7.469819896
Sierra Leone,1992,10.12782347
Sierra Leone,1993,11.83417984
Sierra Leone,1994,12.13171869
Sierra Leone,1995,9.042219938
Sierra Leone,1996,7.661186153
Sierra Leone,1997,9.911060728
Sierra Leone,1998,7.199601269
Sierra Leone,1999,6.294158723
Sierra Leone,2000,10.16038813
Iran,1991,6.658887707
Iran,1992,7.440989032
Iran,1993,4.09507387
Iran,1994,4.678151876
Iran,1995,6.603632344
Iran,1996,8.652779495
Iran,1997,10.98955936
Iran,1998,9.285579333
Iran,1999,9.059293453
Iran,2000,6.341889787
