UserID,TrialID,TaskID,Answer,CompletionTime,Dataset,Layout,QuestionLevel,QuestionID,CorrectAnswer
0,1,Training,France,0.240448,Bar,Flat,Trending,1,Belgium
0,2,Training,France,0.1831207,Bar,Flat,Trending,2,Belgium
0,3,1,France,0.1863556,Bar,Flat,Trending,3,Belgium
0,4,2,France,0.1848068,Bar,Flat,Trending,4,Belgium
0,5,3,France,0.1796875,Bar,Flat,Trending,5,Denmark
0,6,Training,France,0.3281631,Bar,Full-Circle,Trending,6,France
0,7,Training,France,0.2024231,Bar,Full-Circle,Trending,7,Australia
0,8,4,France,0.2002029,Bar,Full-Circle,Trending,8,Denmark
0,9,5,France,0.7623749,Bar,Full-Circle,Trending,9,Canada
0,10,6,France,0.1979523,Bar,Full-Circle,Trending,10,Canada
0,1,Training,Canada,2.048615,Bar,Flat,Long Distance,1,Belgium
0,1,Training,Denmark,1.589851,Bar,Flat,Long Distance,1,Belgium
0,1,Training,Denmark,0.947052,Bar,Flat,Long Distance,1,Belgium
0,1,Training,Belgium,1.464355,Bar,Flat,Long Distance,1,Belgium
0,1,Training,Canada,0.4559402,Bar,Half-Circle,Long Distance,11,Canada
