TimeSinceStart,UserID,Task,Dataset,Layout,QuestionLevel,TrialState,SMManagerPosition.x,SMManagerPosition.y,SMManagerPosition.z,SMManagerScale,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z
31.44444,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5470385,1.674038,-0.8438512,332.1157,52.4636,16.73057
31.46667,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5478121,1.674181,-0.8431626,332.0461,51.6656,16.98761
31.48889,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5479158,1.674237,-0.8430482,332.003,51.56678,17.03161
31.51111,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5481057,1.674253,-0.84297,331.9599,51.4722,17.06146
31.55556,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5483339,1.674437,-0.8429357,331.899,51.30107,17.1421
31.57778,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5483928,1.674513,-0.8429002,331.8667,51.26461,17.17365
31.6,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5484379,1.674539,-0.8429655,331.8236,51.21464,17.17617
31.62222,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5485336,1.674544,-0.84303,331.7852,51.18108,17.1561
31.64445,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5486412,1.674608,-0.8430685,331.7589,51.12909,17.13654
31.66667,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5487138,1.674613,-0.8430914,331.7378,51.06951,17.14901
31.68889,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.548676,1.67461,-0.8430096,331.7482,50.99611,17.1372
31.71111,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5485644,1.674443,-0.8429353,331.8155,50.97308,17.07417
31.73333,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5484574,1.6743,-0.8427096,331.9784,50.95898,16.99726
31.75556,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5481982,1.673934,-0.842491,332.2386,50.94283,16.94825
31.77778,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5478038,1.673481,-0.842171,332.6574,50.92389,16.96138
31.8,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5473126,1.67288,-0.8419616,333.2313,50.96701,16.94869
31.82222,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.546813,1.672249,-0.841599,333.9075,51.0662,16.91789
31.84444,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5460152,1.671409,-0.8413015,334.6368,51.17144,16.82779
31.86667,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5450436,1.670539,-0.8409948,335.43,51.32254,16.61886
31.88889,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5439311,1.669472,-0.8405839,336.2839,51.47284,16.36325
31.91111,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5427645,1.668374,-0.8400326,337.2114,51.53865,16.14096
31.93333,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.541435,1.667186,-0.8395464,338.2363,51.56772,15.92938
31.95556,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5400652,1.665844,-0.8389357,339.3734,51.58682,15.67111
31.97778,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5386477,1.6644,-0.8382403,340.6485,51.59063,15.40201
32,15,0,BIM,Flat,1,PreTask,0,0.6032228,0.8,0.6,-0.5372974,1.662873,-0.8374969,342.0289,51.57129,15.09983
