TimeSinceStart,UserID,Task,Dataset,Layout,QuestionLevel,TrialState,RawGazeFromPupil2D.x,RawGazeFromPupil2D.y,SMHighlighted1,SMHighlighted2,SMGazed,GazePositionAfterCalculation.x,GazePositionAfterCalculation.y,GazePositionAfterCalculation.z
6.333333,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
6.333333,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
6.355556,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
6.377778,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
6.411111,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
6.433333,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
6.455556,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
6.488889,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
6.511111,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
6.533333,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
6.566667,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
6.588889,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
6.611111,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
6.633334,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
6.666667,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
6.688889,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
6.711111,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
6.744444,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
6.766667,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
6.788889,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
6.822222,16,0,Bar,Flat,1,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
