TimeSinceStart,UserHeight,TrialID,ParticipantID,ExperimentSequence,Dataset,Layout,TaskID,TaskLevel,TrialState,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z,LeftControllerPosition.x,LeftControllerPosition.y,LeftControllerPosition.z,LeftControllerEulerAngles.x,LeftControllerEulerAngles.y,LeftControllerEulerAngles.z,RightControllerPosition.x,RightControllerPosition.y,RightControllerPosition.z,RightControllerEulerAngles.x,RightControllerEulerAngles.y,RightControllerEulerAngles.z,LeftMenuButtonPressed,LeftTriggerButtonPressed,LeftGripButtonPressed,LeftPadPressed,RightMenuButtonPressed,RightTriggerButtonPressed,RightGripButtonPressed,RightPadPressed,RotatingClockwise,RotatingAnticlockwise,ScaleUp,ScaleDown,SMManagerPosition.x,SMManagerPosition.y,SMManagerPosition.z,SMManagerScale,SMRotationDiff,FilterXMin,FilterXMax,FilterYMin,FilterYMax,FilterZMin,FilterZMax,RawGazeFromPupil2D.x,RawGazeFromPupil2D.y,SMGazed,GazePositionAfterCalculation.x,GazePositionAfterCalculation.y,GazePositionAfterCalculation.z
6.355556,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-1.147641,1.39553,-1.899062,342.3959,125.9573,2.575052,-1.556929,0.7960274,-2.058965,346.3883,201.9831,1.587378,-1.450367,0.8095404,-2.002749,346.3294,182.6405,359.6834,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
6.377778,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-1.127717,1.330071,-1.942141,342.2336,128.91,9.278298,-1.556958,0.7960156,-2.058919,346.3918,201.9703,1.652421,-1.448254,0.8101031,-2.001168,346.3355,182.6234,359.7302,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
6.411111,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-1.123434,1.3134,-1.951796,342.7565,129.8886,9.72577,-1.556911,0.7957814,-2.058968,346.3756,201.925,1.825008,-1.447059,0.8105223,-2.000134,346.3304,182.6033,359.7905,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
6.433333,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-1.117997,1.285843,-1.965414,343.1409,131.4214,10.24104,-1.556816,0.7956094,-2.05898,346.3758,201.8867,1.983739,-1.445593,0.8108531,-1.99899,346.3352,182.5851,359.8527,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
6.455556,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-1.114178,1.267463,-1.973473,343.4395,132.9165,10.16864,-1.556487,0.7955588,-2.059277,346.3866,201.8508,2.117917,-1.445143,0.8108644,-1.998436,346.3325,182.5732,359.8992,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
6.488889,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-1.110056,1.249681,-1.981524,343.9396,134.1207,9.878644,-1.556322,0.7956222,-2.059177,346.3715,201.8201,2.241247,-1.444529,0.8111181,-1.997864,346.3283,182.5648,359.9312,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
6.511111,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-1.106022,1.231966,-1.989005,344.6152,135.4566,9.492081,-1.556126,0.7956221,-2.058962,346.3582,201.7764,2.422674,-1.443085,0.8117931,-1.996647,346.3184,182.5544,359.9154,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
6.533333,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-1.100806,1.205272,-1.998558,345.061,137.5753,8.329293,-1.556006,0.7958219,-2.05885,346.3502,201.751,2.536289,-1.442558,0.8118334,-1.996223,346.3193,182.5519,359.877,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
6.566667,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-1.097434,1.18803,-2.004651,345.4194,138.9808,7.398964,-1.555786,0.7957447,-2.059128,346.3537,201.7102,2.614987,-1.441092,0.8123142,-1.994862,346.3107,182.5551,359.8356,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
6.588889,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-1.094054,1.170868,-2.010828,346.2155,140.3875,6.350043,-1.555877,0.7958392,-2.059042,346.3434,201.7278,2.533678,-1.440621,0.8124641,-1.994243,346.2999,182.5586,359.7414,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
6.611111,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-1.089861,1.144755,-2.020131,347.4407,142.2587,4.387125,-1.555944,0.7957715,-2.058805,346.3323,201.7493,2.41182,-1.439181,0.81279,-1.993049,346.2999,182.5721,359.6909,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
6.633334,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-1.087337,1.127009,-2.025997,348.1097,143.5047,3.301177,-1.556084,0.7959138,-2.05856,346.3271,201.7748,2.289696,-1.438665,0.812922,-1.992706,346.2993,182.5603,359.6924,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
6.666667,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-1.084882,1.108886,-2.031785,349.167,144.4611,2.533153,-1.556199,0.7958094,-2.058791,346.3371,201.786,2.186279,-1.437817,0.8132484,-1.99198,346.2903,182.5472,359.7181,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
6.688889,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-1.082666,1.090883,-2.037526,350.1801,145.0228,2.069069,-1.556185,0.7957536,-2.058764,346.3261,201.796,2.138779,-1.436845,0.81354,-1.991028,346.2926,182.5353,359.8106,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
6.711111,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-1.079448,1.063913,-2.045358,351.7548,146.1943,1.468744,-1.556222,0.7958721,-2.058668,346.3272,201.7766,2.207922,-1.437052,0.8135399,-1.991296,346.2885,182.5121,359.8604,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
6.744444,1.569163,0,16,4,Bar,Flat,0,1,PreTask,-1.077228,1.044799,-2.050464,353.0241,147.1248,1.105806,-1.556085,0.7959418,-2.058547,346.3181,201.7512,2.334516,-1.434149,0.8143241,-1.988935,346.2813,182.508,359.8836,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5756694,0.8,0.6,0,0,1,0,1,0,1,0,0,NA,0,0,0
