TimeSinceStart,UserID,TrialID,TaskID,Dataset,Layout,QuestionType,TrialState,RawGazeFromPupil2D.x,RawGazeFromPupil2D.y,SMHighlighted1,SMHighlighted2,SMGazed,GazePositionAfterCalculation.x,GazePositionAfterCalculation.y,GazePositionAfterCalculation.z
34.61111,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
34.61111,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
34.63334,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
34.68889,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
34.72222,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
34.75556,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
34.77778,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
34.81111,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
34.83334,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
34.88889,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
34.91111,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
34.94445,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
34.97778,3,0,0,Bar,Half-Circle,Long Distance,PreTask,0,0,Small Multiples 0,Small Multiples 0,NA,0,0,0
