UserID,Task,Answer,CompletionTime,Dataset,Layout,QuestionLevel,QuestionID,CorrectAnswer
9,Training,Sensor L,55.90096,BIM,Half-Circle,1,19,Sensor L
9,Training,Sensor C,18.1151,BIM,Half-Circle,2,22,Sensor C
9,1,Sensor C,13.04995,BIM,Half-Circle,1,20,Sensor C
9,2,Sensor B,15.88084,BIM,Half-Circle,1,21,Sensor B
9,3,Sensor G,30.12174,BIM,Half-Circle,2,23,Sensor G
9,4,Sensor G,48.87961,BIM,Half-Circle,2,24,Sensor G
9,Training,Sensor B,36.70673,BIM,Flat,1,1,Sensor B
9,1,Sensor D,35.41343,BIM,Flat,1,2,Sensor D
9,2,Sensor H,56.02613,BIM,Flat,1,3,Sensor H
9,3,Sensor B,23.60384,BIM,Flat,2,5,Sensor B
9,4,Sensor G,10.35859,BIM,Flat,2,6,Sensor G
9,Training,Sensor L,36.34198,BIM,Quarter-Circle,1,10,Sensor L
9,1,Sensor B,8.058582,BIM,Quarter-Circle,1,11,Sensor B
9,2,Sensor L,25.3555,BIM,Quarter-Circle,1,12,Sensor L
9,3,Sensor L,24.88406,BIM,Quarter-Circle,2,14,Sensor L
9,4,Sensor L,16.78957,BIM,Quarter-Circle,2,15,Sensor B
9,Training,Norway,59.51825,Bar,Half-Circle,1,46,Norway
9,Training,1993,59.5201,Bar,Half-Circle,2,49,1993
9,1,Belgium,59.50582,Bar,Half-Circle,1,47,Belgium
9,2,Netherlands,59.5047,Bar,Half-Circle,1,48,Netherlands
9,3,1989,59.50604,Bar,Half-Circle,2,50,1989
9,4,1991,59.51165,Bar,Half-Circle,2,51,1991
9,Training,Belgium,45.43908,Bar,Flat,1,28,Belgium
9,1,Australia,46.93047,Bar,Flat,1,29,Australia
9,2,Canada,37.11295,Bar,Flat,1,30,Canada
9,3,1989,21.41705,Bar,Flat,2,32,1989
9,4,1990,57.61968,Bar,Flat,2,33,1990
9,Training,France,59.50783,Bar,Quarter-Circle,1,37,France
9,1,Denmark,29.12486,Bar,Quarter-Circle,1,38,Denmark
9,2,France,44.50412,Bar,Quarter-Circle,1,39,France
9,3,1992,54.84282,Bar,Quarter-Circle,2,41,1992
9,4,1995,29.121,Bar,Quarter-Circle,2,42,1995
