UserID,Task,Answer,CompletionTime,Dataset,Layout,QuestionLevel,QuestionID,CorrectAnswer
2,Training,Belgium,59.51302,Bar,Flat,1,28,Belgium
2,Training,1989,59.50412,Bar,Flat,2,31,1989
2,1,Australia,47.10825,Bar,Flat,1,28,Belgium
2,2,Canada,59.50233,Bar,Flat,1,31,1989
2,3,1989,28.21428,Bar,Flat,2,29,Australia
2,4,1990,52.15952,Bar,Flat,2,30,Canada
2,Training,France,59.50106,Bar,Quarter-Circle,1,37,France
2,1,Denmark,59.52455,Bar,Quarter-Circle,1,38,Denmark
2,2,France,59.52556,Bar,Quarter-Circle,1,39,France
2,3,1992,57.51675,Bar,Quarter-Circle,2,41,1992
2,4,1995,33.5947,Bar,Quarter-Circle,2,42,1995
2,Training,Italy,59.50207,Bar,Half-Circle,1,46,Norway
2,1,Belgium,35.37146,Bar,Half-Circle,1,47,Belgium
2,2,Italy,59.50114,Bar,Half-Circle,1,48,Netherlands
2,3,1989,59.52204,Bar,Half-Circle,2,50,1989
2,4,1991,56.73787,Bar,Half-Circle,2,51,1991
2,Training,Sensor H,0.7183266,BIM,Flat,1,1,Sensor B
2,Training,Sensor G,59.50156,BIM,Flat,2,4,Sensor G
2,1,Sensor D,6.130482,BIM,Flat,1,2,Sensor D
2,2,Sensor H,38.53014,BIM,Flat,1,3,Sensor H
2,3,Sensor B,23.42945,BIM,Flat,2,5,Sensor B
2,4,Sensor G,4.022438,BIM,Flat,2,6,Sensor G
2,Training,Sensor L,18.11243,BIM,Quarter-Circle,1,10,Sensor L
2,1,Sensor B,26.38594,BIM,Quarter-Circle,1,11,Sensor B
2,2,Sensor L,16.78776,BIM,Quarter-Circle,1,12,Sensor L
2,3,Sensor L,18.42988,BIM,Quarter-Circle,2,14,Sensor L
2,4,Sensor B,17.41258,BIM,Quarter-Circle,2,15,Sensor B
2,Training,Sensor L,12.03568,BIM,Half-Circle,1,19,Sensor L
2,1,Sensor C,25.21795,BIM,Half-Circle,1,20,Sensor C
2,2,Sensor B,18.29963,BIM,Half-Circle,1,21,Sensor B
2,3,Sensor G,14.98755,BIM,Half-Circle,2,23,Sensor G
2,4,Sensor G,7.508221,BIM,Half-Circle,2,24,Sensor G
