1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
25,22,29,35,24,32,21,6,2,19,4,28,5,15,23,11,30,31,36,14,13,17,34,12,27,26,33,10,1,7,18,16,20,9,3,8
15,21,30,14,11,12,13,20,1,7,32,2,25,19,34,26,27,17,31,33,22,3,28,18,23,6,4,5,10,36,9,29,35,16,8,24
18,7,6,16,11,23,14,25,5,10,29,12,1,21,34,33,4,8,32,22,15,9,13,26,20,31,27,30,19,3,2,36,24,17,28,35
11,14,35,10,30,21,25,34,13,19,26,8,32,29,9,12,16,6,18,7,1,31,23,27,4,28,17,22,3,2,20,5,15,24,36,33
8,29,36,26,23,35,11,24,10,34,15,32,28,19,4,18,6,27,13,3,30,12,22,14,25,21,1,17,20,5,9,16,2,33,31,7
24,36,20,30,16,29,21,32,26,33,1,11,7,25,12,19,14,3,35,6,22,34,13,8,2,28,5,31,15,23,18,27,17,10,4,9
10,23,20,1,7,21,14,24,13,19,30,6,32,16,9,33,26,36,2,4,17,3,31,29,27,5,8,22,35,12,28,25,34,11,18,15
18,3,21,13,27,35,26,19,4,6,34,2,7,16,22,24,30,33,9,10,31,8,17,36,15,14,11,20,29,23,32,28,12,1,5,25
7,11,30,18,16,10,25,34,1,8,22,3,36,35,6,28,26,27,29,5,15,12,20,33,4,21,19,17,32,24,2,31,13,9,23,14
8,5,15,10,35,14,9,13,1,30,16,4,34,25,28,11,2,21,24,27,36,33,7,26,23,32,18,12,29,3,20,31,17,22,6,19
31,23,6,10,11,24,26,8,13,20,32,18,2,12,27,36,22,3,25,33,35,1,5,34,4,28,9,30,29,14,16,15,21,19,7,17
2,12,33,22,19,35,18,15,34,25,11,23,27,16,7,28,6,13,17,32,5,20,36,24,30,21,14,8,9,4,29,10,26,1,3,31
36,4,16,30,3,18,35,14,15,22,26,17,5,13,6,28,12,1,29,25,20,19,24,7,23,21,8,27,33,10,32,31,11,34,9,2
25,22,12,30,1,8,18,4,7,19,24,6,14,13,23,20,15,17,29,27,2,28,11,32,35,31,21,10,34,33,16,26,36,5,3,9
22,23,17,18,12,8,2,34,3,14,10,5,13,1,4,6,29,28,31,20,36,35,25,21,24,32,7,16,9,27,19,15,30,33,11,26
14,29,12,15,6,8,17,26,27,25,33,13,10,28,20,5,24,16,18,9,23,30,31,2,32,4,1,11,19,34,7,21,35,3,36,22
33,3,32,11,5,26,15,21,7,13,1,10,30,28,6,22,8,14,20,16,29,12,23,24,35,17,36,25,9,27,31,4,19,18,2,34
1,34,28,26,33,7,17,16,18,2,24,13,8,32,12,19,30,36,25,5,23,22,21,11,31,3,35,29,15,20,10,14,27,9,4,6
17,25,35,34,20,24,8,36,5,28,10,23,30,9,3,2,26,21,12,16,13,29,1,11,22,15,4,19,14,6,27,33,32,31,7,18
19,5,6,3,25,28,30,36,34,21,17,32,26,8,14,29,4,24,9,1,23,7,11,35,18,27,16,15,13,33,20,22,2,10,12,31
21,3,7,10,31,20,36,23,11,19,13,15,9,2,18,32,4,24,14,30,1,26,17,35,25,5,16,6,12,33,34,22,28,8,29,27
23,31,25,24,27,1,36,6,29,8,26,12,3,10,28,5,21,30,34,19,32,22,7,11,20,13,15,14,35,2,17,33,16,4,9,18
26,18,16,14,32,27,13,20,22,24,2,4,17,12,15,6,8,9,25,28,35,36,19,5,3,10,29,33,31,21,34,23,11,7,1,30
5,35,11,20,3,17,16,31,27,10,19,29,36,21,28,33,32,12,23,2,8,26,18,30,14,13,1,6,4,34,9,25,24,22,7,15
11,22,31,13,30,4,27,2,1,19,15,3,32,34,29,23,6,8,33,14,26,12,20,21,16,18,36,35,5,9,10,17,24,28,25,7
24,1,23,31,33,14,22,5,7,9,32,10,18,26,16,20,34,13,30,19,21,2,27,8,35,6,15,25,3,4,36,12,29,28,11,17
7,28,26,15,21,5,32,13,27,25,8,20,33,1,35,24,11,23,29,17,10,30,22,2,4,6,16,3,14,18,36,34,31,19,9,12
4,29,14,21,24,10,17,3,7,28,9,1,30,31,11,8,22,19,6,20,33,26,13,27,36,2,34,25,5,15,16,35,18,32,12,23
22,5,12,11,30,19,21,14,15,24,18,3,29,7,28,13,8,16,2,25,34,10,32,27,20,36,6,35,23,17,1,4,33,26,31,9
