Country,Year,Value
Guinea-Bissau,1995,379.3622032
Guinea-Bissau,1996,371.6135718
Guinea-Bissau,1997,362.845386
Guinea-Bissau,1998,504.476661
Guinea-Bissau,1999,446.6963446
Guinea-Bissau,2000,466.5005603
Guinea-Bissau,2001,492.5758369
Guinea-Bissau,2002,499.6674903
Guinea-Bissau,2003,474.9616631
Guinea-Bissau,2004,404.002926
Congo Rep.,1995,479.740547
Congo Rep.,1996,351.9864612
Congo Rep.,1997,298.2144318
Congo Rep.,1998,338.1586253
Congo Rep.,1999,299.3364642
Congo Rep.,2000,210.3329385
Congo Rep.,2001,224.0381916
Congo Rep.,2002,228.9975182
Congo Rep.,2003,201.4788306
Congo Rep.,2004,193.8742593
Guyana,1995,373.0585553
Guyana,1996,246.7907594
Guyana,1997,236.012317
Guyana,1998,228.2728156
Guyana,1999,221.3836439
Guyana,2000,206.5622684
Guyana,2001,205.5509567
Guyana,2002,205.5897112
Guyana,2003,207.2411749
Guyana,2004,201.6583176
Nicaragua,1995,368.5623952
Nicaragua,1996,199.1604465
Nicaragua,1997,195.5647072
Nicaragua,1998,186.633509
Nicaragua,1999,191.4226625
Nicaragua,2000,180.4865924
Nicaragua,2001,163.2032984
Nicaragua,2002,166.1537117
Nicaragua,2003,173.1674672
Nicaragua,2004,117.472285
Mozambique,1995,360.5535329
Mozambique,1996,251.292115
Mozambique,1997,213.6157996
Mozambique,1998,207.5326133
Mozambique,1999,170.2674836
Mozambique,2000,180.3927696
Mozambique,2001,129.2895309
Mozambique,2002,124.954782
Mozambique,2003,86.85815423
Mozambique,2004,89.24540778
Angola,1995,311.8603973
Angola,1996,179.2815339
Angola,1997,155.1230818
Angola,1998,206.1823807
Angola,1999,218.3070104
Angola,2000,126.2882745
Angola,2001,114.3559532
Angola,2002,89.26194131
Angola,2003,71.09713223
Angola,2004,54.13326777
Yemen Rep.,1995,169.944222
Yemen Rep.,1996,124.0311332
Yemen Rep.,1997,61.82934199
Yemen Rep.,1998,94.06445038
Yemen Rep.,1999,89.28864442
Yemen Rep.,2000,58.01305977
Yemen Rep.,2001,59.06725932
Yemen Rep.,2002,58.37979147
Yemen Rep.,2003,55.08818322
Yemen Rep.,2004,44.05442212
Eritrea,1995,6.265565879
Eritrea,1996,6.457375081
Eritrea,1997,11.04241905
Eritrea,1998,19.48898388
Eritrea,1999,36.33826727
Eritrea,2000,47.3042919
Eritrea,2001,57.75325802
Eritrea,2002,73.22357184
Eritrea,2003,103.318876
Eritrea,2004,114.5731013
Argentina,1995,38.85814447
Argentina,1996,41.65104813
Argentina,1997,44.13184249
Argentina,1998,47.94757038
Argentina,1999,50.84343867
Argentina,2000,50.9346491
Argentina,2001,56.94244363
Argentina,2002,153.2348632
Argentina,2003,131.779059
Argentina,2004,112.5975381
Burundi,1995,117.6046068
Burundi,1996,132.2498288
Burundi,1997,111.3038478
Burundi,1998,126.6932791
Burundi,1999,142.4409974
Burundi,2000,153.1763331
Burundi,2001,165.5913904
Burundi,2002,197.5390257
Burundi,2003,230.1306281
Burundi,2004,215.0954766
