Country,Sector,Budget
Australia,1,3.3395083
Australia,2,3.2918413
Australia,3,3.1956273
Australia,4,3.7181148
Australia,5,3.4857517
Belgium,1,4.0721276
Belgium,2,3.8407267
Belgium,3,4.9386398
Belgium,4,5.965207
Belgium,5,6.2140389
Canada,1,3.3748001
Canada,2,3.2597223
Canada,3,3.9444698
Canada,4,6.8650426
Canada,5,6.7134529
Denmark,1,5.0524106
Denmark,2,3.7951474
Denmark,3,3.3267189
Denmark,4,7.1300506
Denmark,5,5.1850294
France,1,10.3868515
France,2,9.4528435
France,3,8.7498118
France,4,10.6266122
France,5,10.1123809
