Country,Year,Value
Australia,2000,33.55592414
Australia,2001,28.58941956
Australia,2002,30.08014286
Australia,2003,27.14848325
Australia,2004,31.18741637
Belgium,2000,21.48534526
Belgium,2001,37.36697697
Belgium,2002,26.46405879
Belgium,2003,32.60463929
Belgium,2004,40.73487878
Canada,2000,35.73287389
Canada,2001,21.66938219
Canada,2002,20.04223265
Canada,2003,20.57595373
Canada,2004,22.30781805
Denmark,2000,19.95517818
Denmark,2001,15.11405094
Denmark,2002,17.35445827
Denmark,2003,19.28479464
Denmark,2004,20.12557044
France,2000,29.45062753
France,2001,15.90551181
France,2002,31.24109288
France,2003,26.68437527
France,2004,23.40759656
