icao24,callsign,longitude,latitude,baro_altitude,velocity,on_ground,heading,vertical_rate,squawk,time,trajectory_number
'7c6c96','JST706',144.8271,-37.6107,327.66,70.21,FALSE,171.57,-4.23,'4340',1551235019,0.00000000
'7c6c96','JST706',144.8281,-37.6161,304.8,70.21,FALSE,171.57,-2.93,'4340',1551235028,0.33333333
'7c6c96','JST706',144.8316,-37.6359,190.5,69.7,FALSE,171.51,-3.9,'4340',1551235060,0.66666667
'7c6c96','JST706',144.8327,-37.6418,152.4,70.29,FALSE,171.16,-4.23,'4340',1551235070,1.00000000
'7c6d7c','JST436',144.6466,-37.6283,1661.16,135.3,FALSE,336.94,17.23,'1251',1551235020,0.00000000
'7c6d7c','JST436',144.6424,-37.6177,1805.94,135.61,FALSE,343.7,15.61,'1251',1551235029,0.16666667
'7c6d7c','JST436',144.6383,-37.6062,1943.1,137.44,FALSE,344.14,13.66,'1251',1551235038,0.33333333
'7c6d7c','JST436',144.6336,-37.5929,2080.26,140.06,FALSE,344.23,12.68,'1251',1551235049,0.50000000
'7c6d7c','JST436',144.6293,-37.581,2202.18,142.32,FALSE,344.05,13.33,'1251',1551235059,0.66666667
'7c6d7c','JST436',144.6248,-37.5671,2339.34,145.09,FALSE,348.13,11.7,'1251',1551235070,0.83333333
'7c6d7c','JST436',144.6242,-37.5549,2461.26,149.39,FALSE,2.96,13.33,'1251',1551235079,1.00000000
'7c6cda','VSC',144.9155,-37.7307,38.1,34.47,FALSE,269.14,-2.93,'0100',1551234817,0.00000000
'7c6cda','VSC',144.9011,-37.7309,99.06,32.41,FALSE,180,3.9,None,1551235719,0.03448276
'7c6cda','VSC',144.9011,-37.7337,137.16,34.99,FALSE,179.16,2.6,'0100',1551235728,0.06896552
'7c6cda','VSC',144.9011,-37.7406,198.12,38.58,FALSE,180,3.25,'0100',1551235749,0.10344828
'7c6cda','VSC',144.9011,-37.744,228.6,38.58,FALSE,180,3.25,'0100',1551235759,0.13793103
'7c6cda','VSC',144.9011,-37.7475,274.32,38.07,FALSE,179.23,4.55,'0100',1551235768,0.17241379
'7c6cda','VSC',144.9011,-37.7514,304.8,40.14,FALSE,178.53,1.63,'0100',1551235780,0.20689655
'7c6cda','VSC',144.9011,-37.7549,327.66,41.72,FALSE,182.83,2.93,'0100',1551235789,0.24137931
'7c6cda','VSC',144.9004,-37.7627,403.86,41.87,FALSE,185.64,3.58,'0100',1551235810,0.27586207
'7c6cda','VSC',144.9001,-37.7669,411.48,48.88,FALSE,181.21,1.3,'0100',1551235820,0.31034483
'7c6cda','VSC',144.9001,-37.7713,419.1,52.47,FALSE,180,0.65,'0100',1551235829,0.34482759
'7c6cda','VSC',144.9,-37.7766,426.72,54.53,FALSE,180.54,0.98,'0100',1551235840,0.37931035
'7c6cda','VSC',144.8999,-37.7811,434.34,55.56,FALSE,180.53,0,'0100',1551235849,0.41379310
'7c6cda','VSC',144.9,-37.7862,426.72,57.1,FALSE,180,-0.33,'0100',1551235859,0.44827586
'7c6cda','VSC',144.6401,-37.7871,731.52,46.84,FALSE,308.76,0.33,'1200',1551236619,0.48275862
'7c6cda','VSC',144.6357,-37.7844,739.14,46.92,FALSE,307.87,0.98,'1200',1551236630,0.51724138
'7c6cda','VSC',144.6314,-37.7818,731.52,49.4,FALSE,305.68,-1.63,'1200',1551236639,0.55172414
'7c6cda','VSC',144.6268,-37.7793,723.9,48.8,FALSE,304.7,-0.65,'1200',1551236649,0.58620690
'7c6cda','VSC',144.6225,-37.7768,716.28,48.46,FALSE,307.23,0,'1200',1551236659,0.62068966
'7c6cda','VSC',144.6179,-37.7739,716.28,49.09,FALSE,308.19,-0.33,'1200',1551236670,0.65517241
'7c6cda','VSC',144.6138,-37.7713,723.9,49.59,FALSE,306.99,0,'1200',1551236679,0.68965517
