icao24,callsign,longitude,latitude,baro_altitude,velocity,on_ground,heading,vertical_rate,squawk,time,trajectory_number
'7c6c26','TGG256',144.7363,-37.6549,914.4,129.33,FALSE,273.19,10.08,'4007',1551161350,0.0
'7c6c26','TGG256',144.7057,-37.6536,1219.2,137.06,FALSE,273.23,19.18,'4007',1551161370,0.1
'7c6c26','TGG256',144.6899,-37.6528,1432.56,135.35,FALSE,275.23,23.73,'4007',1551161380,0.2
'7c6c26','TGG256',144.6763,-37.6504,1630.68,135.04,FALSE,287.74,21.78,'4007',1551161389,0.30000000000000004
'7c6c26','TGG256',144.6632,-37.6449,1813.56,137.31,FALSE,305.24,18.53,'4007',1551161398,0.4
'7c6c26','TGG256',144.6513,-37.6352,2004.06,139.93,FALSE,322.92,18.53,'4007',1551161409,0.5
'7c6c26','TGG256',144.6441,-37.6231,2186.94,143.66,FALSE,340.98,18.53,'4007',1551161420,0.6000000000000001
'7c6c26','TGG256',144.6397,-37.6111,2362.2,144.79,FALSE,344.33,18.53,'4007',1551161429,0.7000000000000001
'7c6c26','TGG256',144.6351,-37.5979,2529.84,146.42,FALSE,344.3,16.58,'4007',1551161440,0.8
'7c6c26','TGG256',144.6267,-37.5738,2804.16,152.5,FALSE,347.14,13,'4007',1551161458,0.9
'7c6c26','TGG256',144.625,-37.5608,2941.32,156.91,FALSE,359.62,15.61,'4007',1551161468,1.0
'7c704a','WGS',144.934,-37.7291,388.62,76.14,FALSE,0,-1.3,'4365',1551161363,0.0
'7c704a','WGS',144.9337,-37.7182,365.76,72.07,FALSE,357.95,-1.63,'4365',1551161379,0.07692307692307693
'7c704a','WGS',144.9332,-37.7113,335.28,71.18,FALSE,355.86,-2.28,'4365',1551161389,0.15384615384615385
'7c704a','WGS',144.9328,-37.7051,320.04,68.58,FALSE,356.13,-1.63,'4365',1551161400,0.23076923076923078
'7c704a','WGS',144.9313,-37.701,312.42,66.55,FALSE,335.81,-2.28,'4365',1551161407,0.3076923076923077
'7c704a','WGS',144.9249,-37.6966,289.56,60.47,FALSE,291.98,-0.65,'4365',1551161419,0.38461538461538464
'7c704a','WGS',144.9178,-37.6956,259.08,59.09,FALSE,277,-3.25,'4365',1551161429,0.46153846153846156
'7c704a','WGS',144.9116,-37.6953,228.6,59.76,FALSE,272.96,-3.9,'4365',1551161439,0.5384615384615385
'7c704a','WGS',144.9036,-37.6962,198.12,54.57,FALSE,241.26,-4.55,'4365',1551161451,0.6153846153846154
'7c704a','WGS',144.9001,-37.7039,121.92,52.6,FALSE,183.93,-3.58,'4365',1551161469,0.6923076923076923
'7c704a','WGS',144.9001,-37.7085,91.44,53.03,FALSE,177.78,-3.9,'4365',1551161479,0.7692307692307693
'7c704a','WGS',144.9002,-37.7098,83.82,53.51,FALSE,178.9,-3.9,'4365',1551161482,0.8461538461538463
'7c704a','WGS',144.9007,-37.7182,38.1,52.54,FALSE,177.19,-3.58,'4365',1551161499,0.9230769230769231
'7c704a','WGS',144.9007,-37.7193,30.48,48.94,FALSE,176.99,-3.58,'4365',1551161502,1.0
'7c6d7f','JST714',144.8221,-37.5839,472.44,76.9,FALSE,171.92,-5.53,'3721',1551161370,0.0
'7c6d7f','JST714',144.8232,-37.5904,426.72,75.37,FALSE,171.76,-3.58,'3721',1551161379,0.14285714285714285
'7c6d7f','JST714',144.8244,-37.5967,396.24,72.24,FALSE,171.81,-3.25,'3721',1551161389,0.2857142857142857
'7c6d7f','JST714',144.8256,-37.6034,358.14,70.21,FALSE,171.57,-3.58,'3721',1551161399,0.42857142857142855
'7c6d7f','JST714',144.8266,-37.6089,327.66,70.21,FALSE,171.57,-3.58,'3721',1551161408,0.5714285714285714
'7c6d7f','JST714',144.8273,-37.6126,236.22,70.21,FALSE,171.57,-3.58,'7222',1551161415,0.7142857142857142
'7c6d7f','JST714',144.8325,-37.6404,144.78,71.73,FALSE,171.75,-3.58,'3721',1551161459,0.8571428571428571
'7c6d7f','JST714',144.8326,-37.6411,7680.96,72.75,FALSE,171.87,-4.55,'3721',1551161460,1.0
'7c6d9a','QFA452',144.8174,-37.6604,190.5,86.77,FALSE,275.1,15.61,'3761',1551161558,0.0
'7c6d9a','QFA452',144.806,-37.6595,358.14,88.4,FALSE,275.68,15.28,'3761',1551161570,0.058823529411764705
'7c6d9a','QFA452',144.7966,-37.6589,464.82,91.43,FALSE,275.17,8.45,'3761',1551161579,0.11764705882352941
'7c6d9a','QFA452',144.7846,-37.658,533.4,101.77,FALSE,275.22,5.85,'3761',1551161590,0.1764705882352941
'7c6d9a','QFA452',144.7732,-37.6573,594.36,111.46,FALSE,274.5,6.83,'3761',1551161599,0.23529411764705882
'7c6d9a','QFA452',144.7606,-37.6566,662.94,120.08,FALSE,273.44,10.4,'3761',1551161609,0.29411764705882354
'7c6d9a','QFA452',144.7453,-37.6559,838.2,123.16,FALSE,273.35,18.86,'3761',1551161620,0.3529411764705882
'7c6d9a','QFA452',144.7324,-37.6552,1028.7,121.72,FALSE,274.12,22.76,'3761',1551161629,0.4117647058823529
'7c6d9a','QFA452',144.7055,-37.6536,1310.64,127.4,FALSE,274.17,8.13,'3761',1551161649,0.47058823529411764
'7c6d9a','QFA452',144.6892,-37.6525,1447.8,132.99,FALSE,276.22,15.61,'3761',1551161659,0.5294117647058824
'7c6d9a','QFA452',144.6765,-37.6498,1562.1,136.01,FALSE,288.98,17.88,'3761',1551161668,0.5882352941176471
'7c6d9a','QFA452',144.6613,-37.6419,1775.46,137.98,FALSE,307.43,20.16,'3761',1551161680,0.6470588235294118
'7c6d9a','QFA452',144.6515,-37.6328,1950.72,140.34,FALSE,323.05,19.83,'3761',1551161689,0.7058823529411764
'7c6d9a','QFA452',144.6447,-37.6213,2125.98,143.2,FALSE,340.26,18.53,'3761',1551161699,0.7647058823529411
