icao24,callsign,longitude,latitude,baro_altitude,velocity,on_ground,heading,vertical_rate,squawk,time,trajectory_number
'7c6d28','VOZ1508',144.8276,-37.614,320.04,73.19,False,172.33,-4.88,'1110',1551238630,0.0
'7c6d28','VOZ1508',144.8279,-37.616,304.8,75.1,False,170.54,-2.93,'1110',1551238633,0.2
'7c6d28','VOZ1508',144.8294,-37.6234,274.32,74.21,False,172.43,-4.55,'1110',1551238644,0.4
'7c6d28','VOZ1508',144.8312,-37.6334,205.74,73.92,False,171.19,-5.85,'1110',1551238659,0.6000000000000001
'7c6d28','VOZ1508',144.8326,-37.6405,160.02,74.35,False,171.65,-4.23,'1110',1551238670,0.8
'7c6d28','VOZ1508',144.8329,-37.6425,18592.8,74.28,True,172.04,-3.58,'1110',1551238673,1.0
'7c7fe8','ZJU',144.9007,-37.7187,60.96,31.91,False,178.15,-4.88,'0100',1551238422,0.0
'7c5e89','CHOP42',144.9137,-37.7345,91.44,41.39,False,302.31,-2.28,'0100',1551238621,0.0
'7c52f9','QLK54D',145.0438,-37.6081,2567.94,139.27,False,335.33,-2.6,'4321',1551238630,0.0
'7c52f9','QLK54D',145.0377,-37.5976,2529.84,136.25,False,334.98,-5.85,'4321',1551238639,0.05555555555555555
'7c52f9','QLK54D',145.0307,-37.586,2461.26,135.74,False,333.92,-6.18,'7311',1551238649,0.1111111111111111
'7c52f9','QLK54D',145.0243,-37.5756,2362.2,135.76,False,334.41,-11.05,'4321',1551238659,0.16666666666666666
'7c52f9','QLK54D',145.0182,-37.5653,2255.52,136.03,False,335.18,-11.05,'4321',1551238668,0.2222222222222222
'7c52f9','QLK54D',145.0116,-37.5537,2171.7,134.2,False,335.3,-6.5,'4321',1551238679,0.2777777777777778
'7c52f9','QLK54D',144.8154,-37.5505,693.42,95.67,False,171.65,-4.88,'4321',1551238970,0.3333333333333333
'7c52f9','QLK54D',144.8167,-37.558,647.7,89.85,False,172.1,-4.55,'4321',1551238979,0.38888888888888884
'7c52f9','QLK54D',144.8183,-37.5664,601.98,82.29,False,171.01,-0.98,'4321',1551238990,0.4444444444444444
'7c52f9','QLK54D',144.821,-37.5793,533.4,72.91,False,171.07,-3.9,'4321',1551239009,0.5
'7c52f9','QLK54D',144.8222,-37.5857,495.3,69.12,False,171.87,-1.63,'4321',1551239019,0.5555555555555556
'7c52f9','QLK54D',144.8234,-37.5917,457.2,67.24,False,170.75,-2.6,'4321',1551239029,0.611111111111111
'7c52f9','QLK54D',144.8246,-37.5979,426.72,66.06,False,171.49,-2.93,'4321',1551239040,0.6666666666666666
'7c52f9','QLK54D',144.8257,-37.6035,388.62,65.55,False,171.42,-3.25,'4321',1551239049,0.7222222222222222
'7c52f9','QLK54D',144.8268,-37.6092,358.14,64.03,False,171.22,-3.25,'4321',1551239059,0.7777777777777777
'7c52f9','QLK54D',144.8279,-37.6151,320.04,63.95,False,171.67,-4.23,'4321',1551239069,0.8333333333333333
'7c52f9','QLK54D',144.8281,-37.6166,266.7,63.3,False,172.53,-4.88,'4321',1551239072,0.8888888888888888
'7c52f9','QLK54D',144.832,-37.6376,190.5,65.55,False,171.42,-4.55,'4321',1551239109,0.9444444444444444
'7c52f9','QLK54D',144.8331,-37.6433,160.02,64.9,False,172.26,-4.23,'4321',1551239119,1.0
'7c7f25','ZEF',144.9159,-37.7307,38.1,41.7,False,267.88,-0.98,'0100',1551238527,0.0
'7c7f25','',144.9008,-37.7314,114.3,36.62,False,184.03,4.23,'0324',1551239859,0.017857142857142856
'7c7f25','ZEF',144.9007,-37.7334,137.16,36.58,False,183.22,4.23,'0324',1551239865,0.03571428571428571
'7c7f25','ZEF',144.9002,-37.7379,182.88,37.13,False,183.97,2.93,'0324',1551239879,0.05357142857142857
'7c7f25','ZEF',144.8999,-37.7414,213.36,37.33,False,187.13,5.2,'0324',1551239889,0.07142857142857142
'7c7f25','ZEF',144.899,-37.7481,281.94,39.22,False,184.51,5.53,'0324',1551239909,0.08928571428571427
'7c7f25','ZEF',144.8984,-37.7518,327.66,38.94,False,195.32,3.25,'0324',1551239919,0.10714285714285714
'7c7f25','ZEF',144.8954,-37.7545,342.9,44.17,False,243.73,1.63,'0324',1551239930,0.125
'7c7f25','ZEF',144.8906,-37.7555,381,44.3,False,257.25,3.58,'0324',1551239939,0.14285714285714285
'7c7f25','ZEF',144.8858,-37.7563,419.1,44.32,False,260.65,2.93,'0324',1551239949,0.1607142857142857
'7c7f25','ZEF',144.8803,-37.7568,449.58,45.05,False,263.44,2.6,'0324',1551239960,0.17857142857142855
'7c7f25','ZEF',144.8755,-37.7573,487.68,43.01,False,263.13,5.2,'0324',1551239969,0.19642857142857142
'7c7f25','ZEF',144.8706,-37.7578,533.4,41.93,False,263.66,3.9,'0324',1551239980,0.21428571428571427
'7c7f25','ZEF',144.8662,-37.7582,563.88,43.65,False,261.87,1.63,'0324',1551239989,0.23214285714285712
'7c7f25','ZEF',144.8561,-37.7593,647.7,42.5,False,263.05,4.55,'0324',1551240009,0.25
'7c7f25','ZEF',144.8512,-37.7598,670.56,44.54,False,263.37,2.28,'0324',1551240020,0.26785714285714285
'7c7f25','ZEF',144.8461,-37.7603,701.04,44.03,False,263.29,3.25,'0324',1551240029,0.2857142857142857
'7c7f25','ZEF',144.8411,-37.7608,731.52,45.05,False,263.44,2.28,'0324',1551240039,0.30357142857142855
'7c7f25','ZEF',144.836,-37.7612,754.38,45.46,False,264.81,2.6,'0324',1551240049,0.3214285714285714
'7c7f25','ZEF',144.8306,-37.7615,784.86,45.86,False,266.78,2.93,'0324',1551240060,0.33928571428571425
'7c7f25','ZEF',144.8258,-37.7617,807.72,45.86,False,266.78,2.93,'0324',1551240069,0.3571428571428571
'7c7f25','ZEF',144.8204,-37.7618,845.82,45.27,False,269.35,3.25,'0324',1551240079,0.375
'7c7f25','ZEF',144.8152,-37.762,853.44,49.71,False,263.46,1.3,'0324',1551240089,0.39285714285714285
'7c7f25','ZEF',144.8036,-37.7637,876.3,51.28,False,256.66,0.33,'0324',1551240110,0.4107142857142857
'7c7f25','ZEF',144.798,-37.7645,861.06,53.62,False,261.17,0,'0324',1551240119,0.42857142857142855
'7c7f25','ZEF',144.7917,-37.7652,861.06,54.57,False,261.87,0,'0324',1551240129,0.4464285714285714
'7c7f25','ZEF',144.7858,-37.7659,861.06,54.64,False,261.34,0,'0324',1551240139,0.46428571428571425
'7c7f25','ZEF',144.7794,-37.7667,861.06,54.72,False,260.8,0,'0324',1551240149,0.4821428571428571
'7c7f25','ZEF',144.7735,-37.7674,861.06,54.72,False,260.8,0,'0324',1551240159,0.5
'7c7f25','ZEF',144.7672,-37.7682,861.06,54.8,False,260.27,0,'0324',1551240169,0.5178571428571428
'7c7f25','ZEF',144.7611,-37.7691,861.06,54.8,False,260.27,0,'0324',1551240179,0.5357142857142857
'7c7f25','ZEF',144.7546,-37.7699,861.06,54.72,False,260.8,0,'0324',1551240190,0.5535714285714285
'7c7f25','ZEF',144.7427,-37.7715,861.06,54.3,False,260.18,0,'0324',1551240209,0.5714285714285714
'7c7f25','ZEF',144.7369,-37.7723,861.06,54.3,False,260.18,0,'0324',1551240219,0.5892857142857143
'7c7f25','ZEF',144.7302,-37.7731,861.06,54.21,False,260.72,0,'0324',1551240230,0.6071428571428571
'7c7f25','ZEF',144.7246,-37.7739,861.06,53.62,False,261.17,0,'0324',1551240239,0.625
'7c7f25','ZEF',144.7189,-37.7745,861.06,53.55,False,261.71,0,'0324',1551240249,0.6428571428571428
'7c7f25','ZEF',144.7126,-37.7752,861.06,53.47,False,262.26,-0.33,'0324',1551240259,0.6607142857142857
'7c7f25','ZEF',144.7068,-37.7758,861.06,52.9,False,262.74,0,'0324',1551240269,0.6785714285714285
'7c7f25','ZEF',144.7005,-37.7764,861.06,51.37,False,262.52,-0.33,'0324',1551240280,0.6964285714285714
'7c7f25','ZEF',144.6951,-37.777,861.06,50.28,False,262.95,0,'0324',1551240289,0.7142857142857142
'7c7f25','ZEF',144.6842,-37.7781,861.06,48.24,False,262.65,0,'0324',1551240309,0.7321428571428571
'7c7f25','ZEF',144.6784,-37.7787,861.06,48.31,False,262.04,0,'0324',1551240320,0.75
'7c7f25','ZEF',144.6735,-37.7792,861.06,47.87,False,261.35,0,'0324',1551240329,0.7678571428571428
'7c7f25','ZEF',144.6677,-37.78,861.06,47.45,False,260.64,0,'0324',1551240339,0.7857142857142857
'7c7f25','ZEF',144.6627,-37.7806,861.06,47.45,False,260.64,0,'0324',1551240349,0.8035714285714285
'7c7f25','ZEF',144.657,-37.7814,861.06,47.95,False,260.74,0,'0324',1551240360,0.8214285714285714
'7c7f25','ZEF',144.6517,-37.782,861.06,47.95,False,260.74,0,'0324',1551240369,0.8392857142857142
'7c7f25','ZEF',144.6461,-37.7828,861.06,48.46,False,260.84,0,'0324',1551240380,0.8571428571428571
'7c7f25','ZEF',144.641,-37.7834,861.06,48.97,False,260.93,0,'0324',1551240389,0.875
'7c7f25','ZEF',144.6299,-37.7845,876.3,48.31,False,262.04,1.63,'0324',1551240410,0.8928571428571428
'7c7f25','ZEF',144.6249,-37.7852,914.4,46.31,False,257.82,4.55,'0324',1551240419,0.9107142857142857
'7c7f25','ZEF',144.6197,-37.7862,952.5,44.3,False,257.25,3.25,'0324',1551240430,0.9285714285714285
'7c7f25','ZEF',144.615,-37.787,982.98,44.81,False,257.4,2.93,'0324',1551240439,0.9464285714285714
'7c7f25','ZEF',144.6099,-37.7878,1013.46,43.59,False,258.42,2.93,'0324',1551240449,0.9642857142857142
'7c7f25','ZEF',144.6051,-37.7886,1036.32,44.59,False,258.69,2.28,'0324',1551240459,0.9821428571428571
'7c7f25','ZEF',144.6,-37.7893,1066.8,43.39,False,259.76,2.93,'0324',1551240470,1.0
'7c6d9c','',144.818,-37.6604,167.64,88.31,False,275.01,12.35,'3254',1551238639,0.0
'7c6d9c','',144.8071,-37.6596,320.04,89.48,False,275.94,15.61,'3254',1551238650,0.058823529411764705
'7c6d9c','QFA440',144.7972,-37.6589,457.2,90.32,False,274.57,14.63,'3254',1551238659,0.11764705882352941
'7c6d9c','QFA440',144.7862,-37.6582,548.64,97.07,False,274.86,7.8,'3254',1551238670,0.1764705882352941
'7c6d9c','QFA440',144.7744,-37.6575,624.84,106.38,False,274.99,8.78,'3254',1551238680,0.23529411764705882
'7c6d9c','QFA440',144.7628,-37.6567,693.42,113,False,274.44,7.48,'3254',1551238689,0.29411764705882354
'7c6d9c','QFA440',144.7348,-37.655,861.06,127.96,False,274.38,11.38,'3254',1551238709,0.3529411764705882
'7c6d9c','QFA440',144.7189,-37.6541,990.6,133.01,False,273.77,14.63,'3254',1551238720,0.4117647058823529
'7c6d9c','QFA440',144.705,-37.6534,1158.24,133.01,False,273.77,19.18,'3254',1551238729,0.47058823529411764
'7c6d9c','QFA440',144.6887,-37.6525,1325.88,135.69,False,274.35,15.61,'3254',1551238740,0.5294117647058824
'7c6d9c','QFA440',144.6745,-37.6499,1493.52,135.52,False,289.05,20.16,'3254',1551238749,0.5882352941176471
